name,lng,lat
吉林.立业,126.571319,43.8336
吉林.双沟电站厂,127.165482,42.343004
吉林.玉隆,126.580161,43.833529
吉林.三家子,126.680432,43.831136
吉林.长春三热厂,125.3136424,43.89833761
吉林.九台厂,125.9688268,44.19437211
吉林.集安,125.998992,41.25141059
吉林.长春四热厂,125.3136424,43.89833761
吉林.大岗风场,126.943166,44.492534
东北.梨树站,124.343548,43.313766
吉林.辽源发厂,125.1336861,42.92330262
吉林.六道江,126.315086,41.878045
吉林.北正风场,123.443074,44.493516
东北.甜水站,121.821238,41.353692
吉林.长山,126.069684,42.916297
吉林.金珠,127.221071,44.492192
吉林.乾安风场,123.9691234,44.92691449
吉林.江南热电厂,126.574176,43.834165
吉林.靖边,130.376297,42.902769
吉林.永清,124.123216,43.75584
吉林.四平热电厂,124.3913821,43.1755247
吉林.延吉热电厂,129.4713015,43.0596666
吉林.云峰水厂,126.529194,43.83743
吉林.乾安,123.9691234,44.92691449
吉林.国庆,124.479263,45.320002
吉林.广发,126.515973,43.883966
吉林.长春一热新厂,125.3136424,43.89833761
东北.金城站,126.745499,42.975906
吉林.白城热电厂,122.8407767,45.62108628
吉林.山门风电场,124.43663,43.089848
吉林.黑鱼泡风场,126.479857,44.521726
吉林.米沙子,125.4880992,44.14158265
东北.平安站,127.183188,44.586332
吉林.塔东,128.5003019,43.9345295
吉林.同发风场,126.579656,43.906264
吉林.金英,126.425208,44.001318
吉林.白云,126.783237,42.982101
吉林.高集岗,126.1244489,42.66101715
吉林.和龙,128.9112108,42.46644229
吉林.长春变新,125.3136424,43.89833761
吉林.梨明,125.80987,41.691018
吉林.平泉,125.342883,43.876568
吉林.石龙电站厂,126.833256,43.095286
吉林.维昌,126.598212,43.859813
吉林.蛟河厂,127.3517419,43.71675608
吉林.正阳,127.376195,43.90301
吉林.汽车,125.324234,43.929768
吉林.海兰,127.349417,43.722802
吉林.明月,127.46639,43.937891
吉林.三井子风场,125.383973,45.129789
东北.吉林东站,126.564544,43.87198833
吉林.永安风场,126.630186,43.839229
吉林.乔嘉新,126.568287,43.854283
吉林.江北,126.577786,43.879134
吉林.兴原,126.52508,43.83435
东北.瞻榆站,122.6566969,44.51612312
吉林.团结风场,122.330666,44.604179
吉林.新华风场,126.535864,43.838856
吉林.兴隆山风场,126.535864,43.838856
东北.延吉站,129.4713015,43.0596666
吉林.怀德,126.567052,43.852207
吉林.井岗风场,125.216536,43.794252
吉林.祥生,126.575381,43.812933
吉林.南城,126.956198,44.411414
吉林.永吉,126.2275601,43.60148115
吉林.甄峰风场,129.005313,42.563374
东北.哈南站,126.599671,45.602947
东北.群林站,130.290744,46.641988
东北.方正站,128.9494187,45.81976936
黑龙江.太平站,126.205175,45.64015
东北.黑河换流站,127.5008303,50.25069009
黑龙江.哈西站,126.6192191,45.71119431
黑龙江.七台河厂,131.019048,45.77500537
黑龙江.哈发厂,126.654184,45.74752
黑龙江.莲花厂,126.801953,46.346219
黑龙江.哈一热厂,126.705452,45.786599
黑龙江.镜泊湖厂,129.027104,44.010419
黑龙江.利民站,129.609296,44.584394
东北.兴福站,128.87544,47.723844
黑龙江.龙华厂,124.874069,48.501569
东北.大庆站,125.0218397,46.59670902
东北.松北站,126.4522711,45.94145815
黑龙江.大顶子山厂,127.4307325,46.24475552
黑龙江.呼玛站,124.9120023,51.81313009
黑龙江.哈东站,127.190543,45.757396
黑龙江.哈尔滨站,126.6577169,45.77322463
黑龙江.加格达奇站,124.132794,50.426
黑龙江.塔河站,124.6402034,52.71650625
黑龙江.正阳站,123.323926,47.6067
黑龙江.哈三A厂,126.26636,46.2267
黑龙江.富热A厂,123.633372,47.220163
黑龙江.伊春站,128.9005796,47.74195924
黑龙江.环山站,128.2844985,45.07352234
黑龙江.鹤南站,126.658487,45.722522
黑龙江.东郊站,127.430944,46.085147
黑龙江.江北站,127.388883,45.984995
黑龙江.城乡站,126.576028,45.724664
东北.永源站,127.031788,45.780321
东北.林海站,126.568076,45.731119
黑龙江.鹤岗A厂,130.2924721,47.3386659
东北.冯屯站,124.137203,47.470519
黑龙江.双鸭山B厂,131.1714017,46.65510206
黑龙江.鸡联站,131.10967,46.648421
黑龙江.庆北站,125.113485,46.660638
黑龙江.达连河站,129.4309471,46.17714108
黑龙江.西格木站,130.2799448,46.76097471
黑龙江.浩良河站,129.6388375,46.73504958
黑龙江.佳南站,130.310011,46.815506
黑龙江.芦家站,128.035527,46.18039
黑龙江.花马站,126.592767,45.705964
黑龙江.富锦站,132.5390014,47.17067255
黑龙江.建三江站,132.6693373,47.27239318
黑龙江.密山站,132.1765624,45.46976543
黑龙江.前锋站,133.896079,47.601368
黑龙江.城南站,130.579664,46.232473
黑龙江.红旗站,126.533942,45.586994
黑龙江.杏花站,127.169,44.90775
黑龙江.七台河站,131.019048,45.77500537
黑龙江.新民站,131.813446,46.550388
黑龙江.双鸭山站,131.1714017,46.65510206
